✓  Anjala Zhaveri                                 [portrait=0.00, quality=0.74, text=0.421, face=0.31, front=0.65, out=13KB]  src=10048.jpg  →  Anjala Zhaveri.jpg
✓  Anjali                                         [portrait=0.00, quality=0.44, text=0.181, face=0.32, front=0.75, out=31KB]  src=10023.jpg  →  Anjali.jpg
✓  Ankith Koyya                                   [portrait=0.00, quality=0.89, text=0.191, face=0.19, front=0.59, out=182KB]  src=10003.jpg  →  Ankith Koyya.jpg
✓  Annapoorna                                     [portrait=0.00, quality=0.38, text=0.158, face=0.25, front=0.83, out=178KB]  src=10001.png  →  Annapoorna.png
✓  Anu Emmanuel                                   [portrait=0.00, quality=0.77, text=0.296, face=0.19, front=0.96, out=49KB]  src=10020.jpg  →  Anu Emmanuel.jpg
✓  Anupama Parameswaran                           [portrait=0.00, quality=0.54, text=0.136, face=0.18, front=0.61, out=30KB]  src=10052.webp  →  Anupama Parameswaran.webp
✓  Anushka Shetty                                 [portrait=0.00, quality=0.52, text=0.029, face=0.19, front=0.77, out=285KB]  src=10024.jpg  →  Anushka Shetty.jpg
✓  Arjan Bajwa                                    [portrait=0.00, quality=0.69, text=0.042, face=0.11, front=0.66, out=149KB]  src=10004.jpg  →  Arjan Bajwa.jpg
✓  Arjun Das                                      [portrait=0.00, quality=0.74, text=0.120, face=0.16, front=0.95, out=119KB]  src=10026.jpg  →  Arjun Das.jpg
✓  Arjun Sarja                                    [portrait=0.00, quality=0.95, text=0.094, face=0.19, front=0.64, out=389KB]  src=10002.jpg  →  Arjun Sarja.jpg
✓  Arun Alexander                                 [portrait=0.00, quality=0.39, text=0.057, face=0.25, front=0.96, out=34KB]  src=10008.jpg  →  Arun Alexander.jpg
✓  Arvind Swami                                   [portrait=0.00, quality=0.40, text=0.025, face=0.15, front=0.80, out=49KB]  src=10006.jpg  →  Arvind Swami.jpg
✓  Arya                                           [portrait=0.00, quality=0.70, text=0.312, face=0.11, front=0.83, out=58KB]  src=10012.jpg  →  Arya.jpg
✓  Aryan Rajesh                                   [portrait=0.00, quality=0.49, text=0.293, face=0.24, front=0.77, out=11KB]  src=10042.jpg  →  Aryan Rajesh.jpg
✓  Ashish Vidyrathi                               [portrait=0.00, quality=0.72, text=0.198, face=0.26, front=0.99, out=161KB]  src=10003.jpg  →  Ashish Vidyrathi.jpg
✓  Ashutosh Rana                                  [portrait=0.00, quality=0.47, text=0.092, face=0.31, front=0.81, out=72KB]  src=10016.jpg  →  Ashutosh Rana.jpg
✓  Ashwin Babu                                    [portrait=0.00, quality=0.63, text=0.504, face=0.16, front=0.69, out=31KB]  src=10008.jpg  →  Ashwin Babu.jpg
✓  Asin                                           [portrait=0.00, quality=0.75, text=0.397, face=0.27, front=0.68, out=13KB]  src=10047.jpeg  →  Asin.jpg
✓  Athulya Chandra                                [portrait=0.00, quality=0.87, text=0.205, face=0.26, front=0.19, out=240KB]  src=10009.jpg  →  Athulya Chandra.jpg
✓  Avasarala Srinivas                             [portrait=0.00, quality=0.84, text=0.471, face=0.13, front=0.90, out=365KB]  src=10005.jpg  →  Avasarala Srinivas.jpg
✓  Avika Gor                                      [portrait=0.00, quality=0.88, text=0.207, face=0.19, front=0.76, out=178KB]  src=10012.jpg  →  Avika Gor.jpg
✓  Ayyappa P Sharma                               [portrait=0.00, quality=0.75, text=0.337, face=0.23, front=0.91, out=62KB]  src=10007.jpg  →  Ayyappa P Sharma.jpg
✓  BVS Ravi                                       [portrait=0.00, quality=0.62, text=0.079, face=0.19, front=0.78, out=217KB]  src=10004.jpg  →  BVS Ravi.jpg
