Movie Name,Cast
Drushyam 2,"Venkatesh, Meena, Kruthika Jayakumar, Esther Anil, Nadhiya, Sampath Raj, Naresh Senior, Tanikella Bharani, Vinay Varma, Suja Varunee, Satyam Rajesh, Shafi, Poorna, Annapoorna, Chammak Chandra, Rajashree Nair, Sirisha, Gautam Raju, Naidu Gopi, Sammeta Gandhi, Tammareddy Bharadwaja, Raja Ravindra, CVL Narasimha Rao, Adam Ayub"
Devara,"N T Rama Rao Jr., Saif Ali Khan, Jahnavi Kapoor, Prakash Raj, Srikanth, Murali Sharma, Abhimanyu Singh, Ajay, Narain, Kalaiyarasan, Shine Tom Chacko, Shruti Marathe, Talluri Rameswari, Zarina Wahab, Zakir Hussain, Mathew Varghese"
Gangs Of Godavari,"Vishwak Sen, Anjali, Neha Shetty, Sai Kumar, Nassar, Hyper Aadi, Goparaju Raman, Praveen, Vinoth Kishan, Madhunandan, Rajitha, Gagan Vihari, Mayank Parakh, Gayathri Bhargavi, Sush, Ayesha Khan"
Double iSmart,"Ram Pothineni, Sanjay Dutt, Ali, Kavya Thapar, Sayaji Shinde, Bani J, Makarand Deshpande, Vennela Kishore, Temper Vamsi"
Game Changer,"Ram Charan, Kiara Advani, Anjali, SJ Suriya, Srikanth, Sunil, Jayaram, Samuthirakani"
Hanuman,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar, Samuthirakani, Vinay Rai, Vennela Kishore, Raj Deepak Shetty"
Hi Nanna,"Nani, Mrunal Thakur, Kiara Khanna, Jayaram, Priyadarshi Pulikonda, Nassar, Angad Bedi, Shilpa Tulaskar, Viraj Ashwin, Drishty Talwar, Shruti Hassan, Neha Sharma"
Family Star,"Vijay Deverakonda, Mrunal Thakur"
HIT 2,"Adivi Sesh, Meenakshi Choudhary, Suhas, Rao Ramesh"
Baby,"Vaishnavi Chaitanya, Anand Devarakonda, Viraj Ashwin, Nagendra Babu, Lirisha Kunapareddy, Prabhavati Varma, Kirrak Seetha, Harsha Chemudu, Kusuma Degalamarri, Sathvik Anand Bandela"
Kalki 2898 AD,"Amitabh Bachchan, Kamal Hasan, Prabhas, Deepika Dapukone, Disha Patani, Shobita Dhulipala, Rajendra Prasad, Shobana, Pasupathy, Saswata Chatterjee, Anna Ben, Brahmanandham, Arjun Das, Keerthi Suresh"
Kanguva,"Suriya, Bobby Deol, Disha Patani, Natty Subramaniam, K. S. Ravikumar, Yogi Babu, Redin Kingsley, Kovai Sarala, Ravi Raghavendra, Karunas, Bose Venkat, Harish Uthaman, Kalairani, Prem Kumar, Vasundhara Kashyap, B. S. Avinash, Ayyappa P. Sharma, Vatsan Chakravarthy"
Kushi,"Vijay Deverakonda, Samantha Ruth Prabhu, Murali Sharma, Sachin Khedekar, Bramhanandham, Vennela Kishore, Rahul Ramakrishna, Shatru, Saranya Ponvannan, Lakshmi, Rohini, Jayaram, Sharanya Pradeep, Srikanth Iyengar, Jeevan Kumar Naidu, Geetha Bhaskar, Manik Reddy, Ali"
Sita Ramam,"Dulquer Salman, Mrunal Thakur, Rashmika Mandanna, Sumanth, Tharun Bhaskar, Sachin Khedekar, Gautham Menon, Prakash Raj, Shatru, Vennela Kishore, Bhumika, Rukmini Vasanth, Jisshu Senguptha, Abhinaya, Murali Sharma, Ashwath Bhatt, Tinnu Anand, Sunil, Priyadarshi Pulikonda, Rohini, Rahul Ravindran, Pawan Chopra, Neeraj Kabi, Ananth Babu, Goutham Raju, Anish Kuruvilla, Annapurnamma, Sandeep Raj, Rajkumar Kasireddy"
RRR,"N T Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Shriya Saran, Samuthirakani, Ray Stevenson, Alison Doody, Olivia Morris, Chatrapathi Sekhar, Makarand Deshpande, Rajeev Kanakala, Rahul Ramakrishna, Edward Sonnenblick, Mark Bennington, Eduard Buhac, Preet Gadrana, R. Bhakti Klein, Ahmareen Anjum, Twinkle Sharma, Chakri"
Tillu Square,"Siddu Jonnalagadda, Anupama Parameswaran, Neha Shetty, Murali Sharma, CVL Narasimha Rao, Priyanka Jawalkar, Brahmaji, Anish Kuruvilla, Prince Cecil, Muralidhar Goud, Fish Venkat, Narra Srinivas, Udbhav Raghu, Praneeth Reddy Kallem, Sri Ram, Manik Reddy, Geddam Srinivas, Kalyan, Nellore Neeraja, Abhinav Singh Raghav, Raj Tirandasu, Kireeti Damaraju"
Maharaja,"Vijay Sethupathi, Anurag Kashyap, Sachana Namidass, Mamta Mohandas, Natty Subramaniam, Abhirami, Divyabharathi, Singampuli, Aruldoss, Munishkanth, Vinod Sagar, Manikandan, Bharathiraja, P. L. Thenappan, Saravana Subbiah, Mohan Raman"
Narappa,"Venkatesh, Priyamani, Karthik Rathnam, Vaishta Simha, Nassar, Rao Ramesh, Rajeev Kanakala, Ammu Abhirami, Rathika Rose, Brahmaji, Jhansi, Aadukalam Naren, Prabhakar, Sritej, Raj Deepak Shetty, Racha Ravi"
