Movie Name,Cast
Ambajipeta Marriage Band,"Suhas, Sharanya Pradeep, Nithin Prasanna, Shivani Nagaram, Jagadeesh Prathap Bandari, Swarnakanth, Goparaju Raman, Gayathri Bhargavi, Surabhi Prabhavathi, Kittayya, Sandeep Raj, Vinay Mahadev, Bhavana, Divya Chalamalasetty, Swathi, Khushi Mannem, Bhanu, Jabardasth Bobby, Pullayya Pantulu Mylavarapu"
Akashamantha,"Prakash Raj, Trisha, Jagapathi Babu, Ganesh Venkatraman, Aishwarya, Elango Kumaravel, Thalaivasal Vijay, Sriranjani, Manobala, C. P. Narayanan, R. Subramanian"
Adirindhi Mersal Vijay,"Vijay, Kajal Aggarwal, Samantha Ruth Prabhu, Nithya Menen, SJ Suriya, Satya Raj, Vadivelu, Kovai Sarala, Yogi Babu, Hareesh Peradi, Rajendran, Sathyan, Misha Ghoshal, Devadarshini, Surekha Vani, Mamila Shailaja Priya, Sangili Murugan, Kaali Venkat"
Aha Na Pellanta New,"Allari Naresh, Ritu Barmecha, Bramhanandham, Srihari, Ahuti Prasad, Dharmavarapu Subramanyam, M. S. Narayana, Satyam Rajesh, Nagineedu, Anita Hassanandani Reddy, Vajja Venkata Giridhar, Rajitha, Krishna Bhagavan, Ranganath, Jayaprakash Reddy, A. V. S. Subramanyam, Subbaraju, Gundu Hanumantha Rao, Vennela Kishore, Venu Madhav, Hamsa Nandini, Thagubothu Ramesh"
Akkada ammayi ikkada abbayi,"Pawan Kalyan, Supriya Yarlagadda, Nassar, Chandra Mohan, Sarath Babu, Ahuti Prasad, Allu Ramalingaiyah, Kota Srinivas Rao, Bramhanandham, Babu Mohan, Mallikarjuna Rao, AVS, Gokina Rama Rao, Raja Ravindra, Kavitha, Sudha, Kovai Sarala, Kalpana Rai, Ooha, Rambha"
Ala Modalindhi,"Nani, Nithya Menen, Sneha Ullal, Ashish Vidyarthi, Rohini, Chaitanya Krishna, Thagubothu Ramesh, Pragathi, Sivannarayana Naripeddi, Mirchi Hemanth, Snigdha, Praveen, Dhanraj, Chanti, Uppalapati Narayana Rao, Nandini Reddy, Kriti Kharbanda, Kamesh Sista"
Allari police,"Mohan Babu, Amani, Ali, Malasri, Babu Mohan, Rallapalli"
Annamayya,"Nagarjuna Akkineni, Mohan Babu, Suman, Ramya Krishna, Bhanupriya, Kasthuri, Roja, Sri Kanya, M. Balayya, Subha, Kota Srinivas Rao, Bramhanandham, Babu Mohan, Tanikella Bharani, Mallikarjuna Rao, AVS, Gundu Hanumantha Rao, Chitti Babu, Ananth Babu, Suthi Velu, Jenny, Fight Master Raju, Siva Parvathi"
Annayya,"Chiranjeevi, Soundarya, Venkat, Ravi Teja, Chandni, Sishwa, Priya, Kota Srinivas Rao"
Apadbandhavudu,"Chiranjeevi, Meenakshi Seshadri, Jandhyala, Sarath Babu, Geetha, Allu Ramalingaiah, Bramhanandham, Nirmalamma, Kaikala Satyanarayana, Vijayachander, Silpa, Kalpana Rai, Suthi Velu, Prasad Babu, Mukku Raju"
Aparichithudu,"Vikram, Sadha, Prakash Raj, Vivek, Nedumudi Venu, Nassar, Cochin Haneefa, Saurabh Shukla, Kala Bhavan Mani, Charlie, Kalabhavan Mani, Riyaz Khan"
April 1 Vidudhala,"Rajendra Prasad, Shobana, Krishna Bhagavan, Jayalalitha, Mallikarjuna Rao, Rallapalli, Sakshi Ranga Rao, Pradeep Shakti, Shubha"
Appalaraju,"Sunil, Swathi Reddy, Sakshi Gulati, Bramhanandham, Venu Madhav, Kovai Sarala, Ali, Harshavardhan, Suman Shetty, Raghu Babu, Chalapati Rao, Krishnudu, Tanikella Bharani, M. S. Narayana, Dharmavarapu Subramanyam"
Apthudu,"Rajasekhar, Anjala Zhaveri, Mukesh Rishi, Sunil, Kaikala Satyanarayana, Chandra Mohan, Abhinayashree, Krishna Bhagavan, Chalapati Rao, Kondavalasa Lakshmana Rao"
Baadshah,"N. T. Rama Rao Jr., Kajal Aggarwal, Navdeep, Bramhanandham, Kelly Dorji, Ashish Vidyarthi, Mukesh Rishi, Pragathi, Suhasini Maniratnam, Vennela Kishore, Thagubothu Ramesh, Ritu Varma, Nassar"
Badri,"Pawan Kalyan, Ameesha Patel, Renu Desai, Prakash Raj, Bramhanandham, Kota Srinivas Rao, Mallikarjuna Rao, M. S. Narayana, Dharmavarapu Subramanyam, Ali, Sangeetha, Suthi Velu"
Bahubali 2,"Prabhas, Rana Daggubati, Anushka Shetty, Tamanna Bhatia, Satya Raj, Ramya Krishna, Nassar, Subbaraju, Adivi Sesh, Prabhakar, Rohini, Tanikella Bharani, S. S. Rajamouli, Ramakrishna Meka"
Bahubali The Epic,"Prabhas, Rana Daggubati, Anushka Shetty, Tamanna Bhatia, Satya Raj, Ramya Krishna, Nassar, Subbaraju, Adivi Sesh, Prabhakar, Rohini, Tanikella Bharani, S. S. Rajamouli, Ramakrishna Meka"
Balupu,"Ravi Teja, Shruti Hassan, Anjali, Prakash Raj, Bramhanandham, Adivi Sesh, Ashutosh Rana, Ali, M. S. Narayana, Srinivas Reddy, Raghu Babu, Shafi, Nassar, Ravi Kishan"
Basha,"Rajinikanth, Nagma, Raghuvaran, Shashikumar, Yuvarani, Vijayakumar, Devan, Janagaraj, Anandaraj, Charanraj"
Bava,"Siddharth Narayan, Pranitha Subhash, Rajendra Prasad, Bramhanandham, Ali, Ahuti Prasad, Raghu Babu, Nassar, Venu, Praveen, Prabhas Sreenu, Rajitha, Narsing Yadav, Kalyan, Surekha Vani, Pavitra Lokesh, Sathya Krishnan, Master Bharath, Master Ruthvik, Master Satyan"
Bavagaru Bagunnara,"Chiranjeevi, Rambha, Rachana Banerjee, Paresh Rawal, Kota Srinivas Rao, Kaikala Satyanarayana, Bramhanandham, Srihari, Achyuth, Annapoorna, Jayaprakash, Nagendra Babu"
Bhageeratha,"Ravi Teja, Shriya Saran, Prakash Raj, Bramhanandham, Jayaprakash Reddy, Kota Srinivas Rao, Sunil, Dharmavarapu Subramanyam, Tanikella Bharani, Nassar, Ajay, Ali, Raghu Babu"
Bhola Shankar,"Chiranjeevi, Tamanna Bhatia, Keerthy Suresh, Sushanth, Murali Sharma, Raghu Babu, Rao Ramesh, Vennela Kishore, Tulasi, Sreemukhi, Tarun Arora"
Bharath Ane Nenu,"Mahesh Babu, Kiara Advani, Prakash Raj, Sarath Kumar, Devaraj, Sithara, Posani Krishna Murali, Ajay, Jeeva, Yashpal Sharma, Shatru, Brahmaji"
Bheemavaram Bullodu,"Sunil, Esther Anil, Vikramjeet Virk, Sayaji Shinde, Subbaraju, Posani Krishna Murali, Satyam Rajesh"
Bheemili Kabaddi Jattu,"Nani, Saranya Mohan, Kishore, Dhanraj, Vinay, Santosh, Shiva, Chaitanya Krishna, Chalaki Chanti, Siddu Jonnalagadda, Krishneswara Rao, Vithika Sheru"
Bindas,"Manchu Manoj, Sheena Shahabadi, Ahuti Prasad, Bramhanandham, Paruchuri Venkateswara Rao, Jayaprakash Reddy, Sunil, Chalapati Rao, Subbaraju, Telangana Shakuntala, Benarjee"
Bodyguard,"Venkatesh, Trisha Krishnan, Saloni Aswani, Prakash Raj, Roopa Kaur, Subbaraju, Ali, Dharmavarapu Subramanyam, Mukesh Rishi, Tanikella Bharani, Asha Saini, Jaya Praksah Reddy, Raghu Babu"
Bobby,"Mahesh Babu, Aarthi Agarwal, Raghuvaran, Prakash Raj, Bramhanandham, Sunil, Ravi Babu, Lakshmipati, Venu Madhav, Kota Srinivas Rao, Mallikarjuna Rao, Jaya Praksah Reddy"
Bommarillu,"Siddharth, Genelia D'Souza, Prakash Raj, Jayasudha, Kota Srinivas Rao, Sunil, Bramhanandham, Sathya Krishnan, Dharmavarapu Subramanyam, Tanikella Bharani, Naresh, Sudeepa Pinky, Chitram Sreenu, Surekha Vani"
Bommana Brothers Chandana Sisters,"Allari Naresh, Krishna Bhagavan, Farzana, Charulatha, Tanikella Bharani, Kota Srinivas Rao, Dharmavarapu Subramanyam, Raghu Babu, A. V. S., Jayalalitha, Suman Shetty"
Brundavanam,"Rajendra Prasad, Ramya Krishna, Bhanupriya, Kaikala Satyanarayana, Kota Srinivas Rao, Bramhanandham, Mallikarjuna Rao, Subhalekha Sudhakar, Rallapalli, Sakshi Ranga Rao"
Buridi,"Aryan Rajesh, Aishwarya, Bramhanandham, Ali, M. S. Narayana, Raghu Babu, Jayaprakash Reddy, Chalapati Rao, L. B. Sriram, Krishna Bhagawan, A. V. S., Jeeva, Siva Reddy, Suman Shetty, Telangana Shakuntala, Srilakshmi, Kovai Sarala, Hema, Surekha Vani"
Boys,"Siddharth Narayan, Genelia D'Souza, Bharath, Nakul, Manikandan, Vivek"
Brother of Bommali,"Allari Naresh, Monal Gajjar, Karthika Nair, Harshvardhan Rane, Bramhanandham, Ali, Vennela Kishore, Vineeth Kumar, Kelly Dorji, Srinivas Reddy, Sudigali Sudheer, Madhunandan, Jaya Praksah Reddy, Nagineedu, Praveen, Abhimanyu Singh"
Cauliflower,"Sampoornesh Babu, Vaasanthi, Posani Krishna Murali, Getup Srinu, Mukku Avinash"
Brahmotsavam,"Mahesh Babu, Samantha Ruth Prabhu, Kajal Aggarwal, Pranitha Subhash, Satya Raj, Jayasudha, Revathi, Rao Ramesh, Tanikella Bharani, Naresh, Subhalekha Sudhakar, Sayaji Shinde, Saranya Ponvannan, Easwari Rao, Nassar, Pavani Gangireddy"
Bruce Lee,"Ram Charan, Rakul Preet Singh, Kriti Kharbanda, Arun Vijay, Sampath Raj, Nadia Moidu, Rao Ramesh, Bramhanandham, Mukesh Rishi, Jayaprakash Reddy, Saptagiri, Sayaji Shinde, Posani Krishna Murali"
Bramhachari,"Akkineni Nageswara Rao, Jayalalitha, Chittor V. Nagaiah, Padmanabham, Prabhakar Reddy, Ramana Reddy, Mukkamala, Chalam, Allu Ramalingaiah, Suryakantham, Raja Babu"
Akhanda,"Nandamuri Balakrishna, Pragya Jaiswal, Jagapathi Babu, Srikanth, Poorna, Avinash, Viji Chandrasekhar, Subbaraju, Sravan, Easwari Rao, Nithin Mehta, Shatru, Ravi Prakash, Kalyan Acharya, Suresh Chandra, Sampath Raj, Ramesh Reddy"
Allari Police,"Amani, Malashri, Mohan Babu, Rallapalli Narasimha Rao"
Kedi,"Nagarjuna Akkineni, Mamta Mohandas, Sayaji Shinde, Ankur Vikal, Bramhanandham, Nirmal Pandey, Harshavardhan, Akhilendra Mishra, Tanikella Bharani, Linda Arsenio, Anushka Shetty"
Ashoka Vanam Lo Arjuna Kalyanam,"Vishwak Sen, Rukshar Dhillon, Ritika Nayak, Goparaju Raman, Kadambari Kiran, Kedar Shankar, Ashok Selvan, Rathika Rose"
Daruvu,"Ravi Teja, Taapsee Pannu, Sayaji Shinde, Prabhu, Kaikala Satyanarayana, M. S. Narayana, Jayasudha"
Dalapathi,"Rajinikanth, Mammootty, Arvind Swamy, Shobana, Geetha, Amrish Puri, Bhanupriya, Srividya"
Detective,"Vishal Krishna, Anu Emmanuel, Andrea Jeremiah, Vinay Rai, Prasanna, K. Bhagyaraj, Simran, Shaji Chen, Abhishek Shankar, John Vijay, Jayaprakash, Thalaivasal Vijay, Vincent Asokan, Ajay Ratnam, Ravi Mariya"
Dhoolpeta,"Dhanush, Sneha, Soni Raj"
Don SK,"Sumanth, Priya Varrier, Murali Sharma, Brahmaji, Vennela Kishore, Satya, Praveen, Rajeev Kanakala, Hyper Aadi"
KRK Kanmani Rambo Kathija,"Vijay Sethupathi, Nayanthara, Samantha Ruth Prabhu, Prabhu, Kalaipuli S. Thanu, Varalaxmi Sarathkumar, Seeman"
Mayabazaar New,"Ali, Sp Balasubramanyam, Tanikella Bharani, Bhoomika Chawla, Raja, Jayalalitha, Dharmavarapu Subramanyam, Gundu Sudharshan, Surya, Vajja Venkata Giridhar, L. B. Sriram"
Mr Bachhan,"Ravi Teja, Bhagyashri Borse, Jagapathi Babu, Subhalekha Sudhakar, Satya, Rao Ramesh, Vennela Kishore, Anurag Singh, Prakash Raj, Bhagyaraj"
Mruga Raju,"Chiranjeevi, Simran, Sanghavi, Nagendra Babu, Bramhanandham, Prakash Raj, Chalapati Rao, Rambha, Raja Ravindra, M. S. Narayana"
Mrugam,"J. D. Chakravarthy, Maheswari, Jeeva, Chalapati Rao, Ranganath, Gundu Hanumantha Rao, Delhi Rajeshwari, Ramaraju"
Muni,"Rajkiran, Raghava Lawrence, Vedhika, Kovai Sarala, Nassar, Mayilsamy, Rahul Dev, Chitra Lakshmanan"
Munna,"Prabhas, Ileana D'Cruz, Prakash Raj, Kota Srinivas Rao, Rahul Dev, Tanikella Bharani, Venu Madhav, Posani Krishna Murali, Brahmaji, Harshavardhan, Chalapati Rao, Shriya Saran"
Mugguru Monagallu,"Srinivas Reddy, Dheekshith Shetty, Vennela Ramarao, Twisha Sharma, Swetha Varma, Raja Ravindra, TNR, Bhadram, Nassar, Gemini Suresh"
Naa Alludu,"N. T. Rama Rao Jr., Shriya Saran, Genelia D'Souza, Ramya Krishna, Ali, Charan Raj, Suman, Nassar, Bramhanandham, Kota Srinivas Rao, Krishna Bhagavan, Hema, Suman Shetty, Rallapalli"
Naaga,"N. T. Rama Rao Jr., Jennifer Kotwal, Sadha, Raghuvaran, Nassar, Rajan P. Dev, Sudeepa Pinky, Paruchuri Gopala Krishna, Sunil, Tanikella Bharani, Srinivas Reddy, Siva Reddy, Babloo Prithveeraj, Rajeev Kanakala, Venu Madhav, L. B. Sriram, M. S. Narayana, Rambha"
Nagavalli,"Venkatesh, Anushka Shetty, Richa Gangopadhyay, Shraddha Das, Poonam Kaur, Kamalinee Mukherjee, Avinash, Srihari, Pradeep Rawat, Sarath Babu, Saikumar, Rao Ramesh, Bramhanandham, Dharmavarapu Subramanyam"
Nani,"Baby Shamili, Saikumar, Charan Raj, Aali, Kota Srinivas Rao, Bramhanandham, Rajeev Kanakala, Tanikella Bharani, M. S. Narayana, L. B. Sriram"
Nayak,"Anil Kapoor, Rani Mukerji, Amrish Puri, Paresh Rawal, Johnny Lever, Pooja Batra, Saurabh Shukla, Shivaji Satam, Neena Kulkarni, Ahmed Khan"
Nee Sneham,"Uday Kiran, Aarthi Agarwal, Jatin Grewal, K Vishwanath, Giri Babu, Sudeepa Pinky, Ali, Ajay, Sivaji Raja, Hema, Sudha, Chittajalu Lakshmipati, Paruchuri Venkateswara Rao, Dharmavarapu Subramanyam, Kaushal Manda, Chitram Sreenu, Sangeeta, Sujatha"
Nannu Dhochukundhuvate,"Sudheer Babu, Nabha Natesh, Nassar, Rajsekhar Aningi, Harsha Chemudu, Jeeva, Prithviraj, Varshini Sounderajan, Tulasi, Shanmukh Jaswanth, Chalapati Rao, Surya Srinivas, Sudharshan, Ravi Varma"
Nanna,"Vikram, Anushka Shetty, Amala Paul, Karthik Kumar, Santhanam, Sara Arjun, Nassar"
Nava Manmadhudu,"Dhanush, Samantha Ruth Prabhu, Amy Jackson, Radhika Sarathkumar, K. S. Ravikumar, Sathish, Jayaprakash, M. S. Bhaskar"
Needhi Naadhi Oke Katha,"Sree Vishnu, Satna Titus, Rajasekhar Aningi, Posani Krishna Murali, Devi Prasad"
Narasimha,"Sunny Deol, Dimple Kapadia, Urmila Matondkar, Ravi Behl, Om Puri, Shafi Inamdar, Johnny Lever, Om Shivpuri, Satish Shah"
Nela Ticket,"Ravi Teja, Malvika Sharma, Jagapathi Babu, Sampath Raj, Bramhanandham, Ali, Posani Krishna Murali, Prudhviraj, Priyadarshi, Surekha Vani, Raghu Babu, Tanikella Bharani, Sarath Babu, Jayaprakash Reddy"
Nene Raju Nene Mantri,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa, Navdeep, Ashutosh Rana, Pradeep Rawat, Sivaji Raja, Janaki Sabesh, Suhasini, Tanikella Bharani, Jaya Praksah Reddy, Paruchuri Venkateswara Rao, Kaikala Satyanarayana, Posani Krishna Murali, Ajay, Satya Prakash, Raghu Karumanchi, Prabhas Sreenu, Bithiri Sathi, Bindu Chandramouli"
Nenu Meeku Telusa,"Manoj Manchu, Sneha Ullal, Riya Sen, Nassar, Bramhanandham, Sunil, Uttej, Tanikella Bharani, Harsha Vardhan, C. V. L. Narasimha Rao, Mallikarjuna Rao, Ali, Supreeth, Noel Sean, Nag Ashwin"
Nene Ambani,"Arya, Nayanthara, Santhanam, Vijayalakshmi, Rajendran, Saravanan, Chitra Lakshmanan"
Nenunnanu,"Nagarjuna Akkineni, Shriya Saran, Aarthi Agarwal, Mukesh Rishi, Subbaraju, Bramhanandham, Ali, Sunil, Tanikella Bharani, Paruchuri Venkateswara Rao, Giri Babu, Sudha, Siva Parvathi, Dharmavarapu Subramanyam, Ravi Babu, Siva Reddy, M. S. Narayana, Ananth, Neha Bamb"
Nenu Na Rakshashi,"Rana Daggubati, Ileana D'Cruz, Abhimanyu Singh, Mumaith Khan, Subbaraju, Nagineedu, Hema, Subhalekha Sudhakar, Ali, Fish Venkat"
Ninne Ishtapaddanu,"Tarun, Sridevi, Anita Hassanandani, Rajeev Kanakala, Sarath Babu, Raavi Kondala Rao, Bramhanandham, Ali, Giri Babu, Sunil, Sudha, Sudeepa Pinky, M. S. Narayana, Mallikarjuna Rao, Tanikella Bharani, Madhunandan, Sivaji Raja, Chinna, Hema, Junior Relangi, Babloo, Athli Lakshmi, Delhi Rajeswari, Jhansi, Anitha Chowdary"
Ninne Premistha,"Nagarjuna Akkineni, Soundarya, Srikanth, Rajendra Prasad, K. Chakravarthy, Chandra Mohan, Bramhanandham, Ali, M. S. Narayana, Tanikella Bharani, Nutan Prasad"
Nijam,"Mahesh Babu, Rakshita, Gopichand, Raasi, Talluri Rameswari, Ranganath, Jayaprakash Reddy, Brahmaji, Prakash Raj, Jeeva, Duvvasi Mohan, Tirupathi Prakash, Rallapalli, Kanta Rao, Shakeela, Suman Shetty, Vijaychander"
Nippu,"Ravi Teja, Deeksha Seth, Rajendra Prasad, Bramhanandham, Pradeep Rawat, Mukul Dev, Chandramohan, Pragathi, Jaya Praksah Reddy, Supreeth, Ashish Vidyarthi, M. S. Narayana, Fish Venkat"
Nootokka Jillala Andagadu,"Avasarala Srinivas, Ruhani Sharma, Rohini, Krishna Bhagavan, Sivannarayana Naripeddi, Rocket Raghava, Abhishek Maharshi, Siddharth Gollapudi"
Nuvva Nena,"Shriya Saran, Allari Naresh, Sharwanand, Vimala Raman, Bramhanandham, Ali, Jeeva, Kovai Sarala, Srinivas Reddy, Narsing Yadav, Prabhas Sreenu, Fish Venkat, Raghu Karumanchi, Prudhviraj"
Nuvve Nuvve,"Tarun, Shriya Saran, Prakash Raj, Sunil, Chandra Mohan, Ramaprabha, M. S. Narayana, Dharmavarapu Subramanyam, Mallikarjuna Rao"
Ninnu Chudaka Nenundalenu,"Sachin, Bhavana Pani, Chandra Mohan, Sana, Nagma"
Orange,"Ram Charan, Genelia D'Souza, Shazahn Padamsee, Prabhu, Mukesh Rishi, Prakash Raj, Bramhanandham, Manjula Ghattamaneni, Sanjay Swaroop, Pavitra Lokesh, Srinivas Avasarala, Vennela Kishore, Kalpika Ganesh, Sanchita Shetty, Sameer Hasan, Siddu Jonnalagadda, Phanikanth Rampalli, Nagendra Babu, Pooja Umashanker"
Ottesi Chepthunna,"Srikanth, Kaniha, Sivaji, Anitha Patil, Ali, Babu Mohan, Mallikarjuna Rao, Rajeev Kanakala, M. S. Narayana"
Padi Padi Leche Manasu,"Sharwanand, Sai Pallavi, Priya Raman, Sampath Raj, Kalyani Natarajan, Murali Sharma, Priyadarshi, Sunil, Vennela Kishore, Ajay, Kalpika Ganesh, Suhas, Raghu Babu, Mahadevan, Shatru, Ravi Kale, Noel Sean, Satyam Rajesh, Kadambari Kiran"
Paisa Vasool,"Nandamuri Balakrishna, Shriya Saran, Vikramjeet Virk, Musskan Sethi, Kyra Dutt, Kabir Bedi, Ali, Prudhviraj, Pavitra Lokesh, Temper Vamsi"
Paisa,"Nani, Catherine Tresa, Siddhika Sharma, Charan Raj, K. K. Mena, Duvvasi Mohan, Raju Srivastav, T.N. Raghu, Siva Reddy"
Pakka Commercial,"Gopichand, Raashii Khanna, Satya Raj, Rao Ramesh, Varalaxmi Sarathkumar, Anasuya Bhardwaj, Rajeev Kanakala, Kiran Talasila"
Okka Magadu,"Nandamuri Balakrishna, Simran, Priyanka Kothari, Anushka Shetty, Ashutosh Rana, Sarath Kumar, Kota Srinivas Rao, Subbaraju, Chalapati Rao, Ravi Kale, Krishna Bhagavan"
Oye,"Siddharth Narayan, Shamili, Sunil, Napoleon, Pradeep Rawat, Tanikella Bharani, Surekha Vani, Krishnudu"
Pallakilo Pellikuthuru,"Raja Goutham, Rathi, Giri Babu, Ravi Babu, Tanikella Bharani, Bramhanandham, Hema, Lakshman Rao Kondavalasa, Venu Madhav, Gautham Vasudev Menon, M. S. Narayana, Ramaprabha, Telangana Shakuntala, Shakeela, Dharmavarapu Subramanyam, Sudha, Sunil"
Palnati Bramhanaidu,"Nandamuri Balakrishna, Sonali Bendre, Mukesh Rishi, A. V. S., Bramhanandham, Jaya Praksah Reddy, Nalini, Kota Srinivas Rao, Chalapati Rao"
Pandaga Chesko,"Ram Pothineni, Rakul Preet Singh, Sonal Chauhan, Sai Kumar, Bramhanandham, Aditya Menon, Rao Ramesh, Pavitra Lokesh, Tejaswi Madivada, Sampath Raj, Harish Uthaman, Raghu Babu, Mamila Shailaja Priya, M. S. Narayana, Vennela Kishore, Abhimanyu Singh, Satyam Rajesh, Brahmaji, Suman, Sreenu, Prudhviraj, Prabhas Sreenu, Raghu Karumanchi"
Pandem,"Jagapathi Babu, Kaveri, Ahuti Prasad, M. S. Narayana, Kondavalasa, Apoorva, Basha, Chinna, Jeeva, Krishna Bhagavan, Surya, Ravi Varma, Satyam Rajesh, Venu Madhav"
Arunachalam,"Rajinikanth, Soundarya, Rambha, Jaishankar, Ravichandran, Visu, Nizhalgal Ravi, Nassar, Ponnambalam, Manorama"
Arundathi,"Anushka Shetty, Sonu Sood, Divya Nagesh, Manorama, Sayaji Shinde, Kaikala Satyanarayana, Arjan Bajwa, Deepak, Annapoorna, Chalapati Rao, Ahuti Prasad, Prudhviraj, Siva Parvathi"
Asadhyudu,"Nandamuri Kalyan Ram, Diya, Ravi Kale, Chalapati Rao, Kavitha, Vinayakan, Charan Raj, Satyam Rajesh, Ahuti Prasad, Sudeepa Pinky, Vinod Kumar Alva, Raghu Babu, Krishna Bhagavan, G. V. Sudhakar Naidu, Preeti Nigam, Jeeva, Devadas Kanakala, Prudhviraj, Kaushal Manda, Fish Venkat"
Ashok,"N. T. Rama Rao Jr., Sameera Reddy, Prakash Raj, Sonu Sood"
Ashta Chamma,"Nani, Swathi Reddy, Srinivas Avasarala, Bhargavi, Krishna Burugula, Tanikella Bharani"
Athanokkade,"Nandamuri Kalyan Ram, Sindhu Tolani, Ashish Vidyarthi, Prakash Raj, Chandra Mohan, Rajyalakshmi, Bramhanandham, Surya, Narsing Yadav, Ahuti Prasad, Ajay"
Atharintiki Daredhi,"Pawan Kalyan, Samantha Ruth Prabhu, Pranitha Subhash, Boman Irani, Nadhiya, Hamsa Nandini, Mukesh Rishi, Kota Srinivas Rao, Rao Ramesh, Ali, M. S. Narayana, Brahmaji, Raghu Babu, Vajja Venkata Giridhar, Navika Kotia, Krishna Murali Posani, Sameer, Bramhanandham, Ahuti Prasad, Hema, Srinivas Reddy, Narra Srinivas, Amit Tiwari, Nalla Venu"
Athidhi,"Mahesh Babu, Amrita Rao, Baby Annie, Murali Sharma, Ashish Vidyarthi, Kota Srinivas Rao, Ajay, Nassar, Bramhanandham, Sunil, Ravi Prakash, Pragathi, Subbaraju, Maadhavi Latha, Ashmitha Karnani, Rajendran, Prabhakar, Hema, Shankar Melkote, Indrayudh Mandal, Venu Madhav, Rajeev Kanakala, Malaika Arora Khan"
Athili Sathibabu LKG,"Allari Naresh, Vidisha Srivastava, Kausha Rach, Bramhanandham, Sunil, Venu Madhav, Dharmavarapu Subramanyam, Ali, Babu Mohan, Krishna Bhagavan, M. S. Narayana, Mallikarjuna Rao, Chalapati Rao, L. B. Sriram, Kondavalasa, Abhinayashree, Sathya Krishnan, Bhargavi, Kallu Krishna Rao, Gundu Sudarshan, Mounika"
Avunanna Kadhanna,"Uday Kiran, Sadha, Krishna, Pilla Prasad, Dharmavarapu Subramanyam, Suman Shetty, Rallapalli, Sana, Sudha, Duvvasi Mohan, Sangeetha, Rama Prabha"
Avunu,"Poorna, Harshvardhan Rane, Ravi Babu, Jeeva, Gayatri Bhargavi, Sudha, Chalapati Rao, Rajeshwari"
Avunu vallidharuu ishtapaddaru,"Ravi Teja, Kaveri, Prasanna, Kota Srinivas Rao, Banerjee, Mallikarjuna Rao, M. S. Narayana, Tanikella Bharani, Surya, Jayaprakash Reddy, Krishna Bhagavan, Kondavalasa, Siva Reddy, L. B. Sriram, Jeeva, Dharmavarapu Subramanyam, Saroja Draksharamam"
Awe,"Kajal Aggarwal, Nithya Menen, Regina Cassandra, Eesha Rebba, Srinivas Avasarala, Murali Sharma, Priyadarshi Pullikonda, Devadarshini, Rohini, Nani, Ravi Teja"
Baadshah,"N. T. Rama Rao Jr., Kajal Aggarwal, Navdeep, Bramhanandham, Kelly Dorji, Ashish Vidyarthi"
Baba,"Rajinikanth, Manisha Koirala, Sanghavi, Goundamani, Ashish Vidyarthi, Vijayakumar, Karunas, Sayaji Shinde"
Badri,"Pawan Kalyan, Ameesha Patel, Renu Desai, Prakash Raj"
Bava,"Siddharth, Pranitha Subhash, Rajendra Prasad, Bramhanandham, Ahuti Prasad, Ali, Venu Madhav, Pavitra Lokesh"
Bavagaru Bagunnara,"Chiranjeevi, Rambha, Rachana Banerjee, Srihari, Paresh Rawal, Kota Srinivas Rao, Bramhanandham"
Bhageeratha,"Ravi Teja, Shriya Saran, Prakash Raj, Bramhanandham"
Bahubali 2,"Prabhas, Rana Daggubati, Anushka Shetty, Tamanna Bhatia, Ramya Krishna, Satya Raj, Nassar, Subbaraju, Adivi Sesh, Rohini, Meka Ramakrishna"
Bahubali The Epic,"Prabhas, Rana Daggubati, Anushka Shetty, Tamanna Bhatia, Ramya Krishna, Nassar, Satya Raj, Subbaraju, Adivi Sesh"
Baladoor,"Ravi Teja, Krishna, Anushka Shetty, Chandra Mohan, Pradeep Rawat, Sunil, Bramhanandham, Venu Madhav, M. S. Narayana, Dharmavarapu Subramanyam, Sudha"
Balupu,"Ravi Teja, Shruti Hassan, Anjali, Prakash Raj, Adivi Sesh, Ashutosh Rana, Bramhanandham, Ali, Brahmaji, Raasi"
Basha,"Rajinikanth, Nagma, Raghuvaran, Shashikumar, Yuvarani, Vijayakumar, Devan, Janagaraj, Anandaraj, Charan Raj"
Bharath Ane Nenu,"Mahesh Babu, Kiara Advani, Prakash Raj, Sarath Kumar, Amani, Devaraj, Posani Krishna Murali, Ravi Shankar, Yashpal Sharma, Ajay, Rao Ramesh, Jeeva, Brahmaji"
Bheemavaram Bullodu,"Sunil, Ester Noronha, Vikramjeet Virk, Sayaji Shinde, Subbaraju, Posani Krishna Murali, Satyam Rajesh, Telangana Shakuntala, Tanikella Bharani, Prudhvi Raj, Jaya Praksah Reddy, Ahuti Prasad, Raghu Babu, Srinivas Reddy, Gundu Sudarshan"
Bhola Shankar,"Chiranjeevi, Tamanna Bhatia, Keerthy Suresh, Sushanth"
Bluff Master,"Satyadev, Nandita Swetha, Brahmaji"
Boys,"Siddharth, Bharath, S. Thaman, Nakul, Genelia"
Bheemili Kabaddi Jattu,"Nani, Saranya Mohan, Kishore, Dhanraj, Vinay, Santosh, Siva, Ramesh, Krishna Chaitanya, Chalaki Chanti, Krishneswara Rao, Siddu Jonnalagadda, Vithika Sheru"
